game_date,home_team,away_team,score_home,score_away
2018-11-24,Everton,Cardiff,1,0
2018-11-24,Brighton,Leicester,1,1
2018-11-24,Spurs,Chelsea,3,1
2018-11-11,Liverpool,Fulham,2,0
2018-11-11,Chelsea,Everton,0,0
2018-11-11,Man City,Man Utd,3,1
2018-11-11,Arsenal,Wolves,1,1
2018-11-10,Cardiff,Brighton,2,1
2018-11-10,Southampton,Watford,1,1
2018-11-10,Newcastle,Bournemouth,2,1
2018-11-10,Leicester,Burnley,0,0
2018-11-10,Huddersfield,West Ham,1,1
2018-11-10,Crystal Palace,Spurs,0,1
2018-11-05,Huddersfield,Fulham,1,0
2018-11-04,Man City,Southampton,6,1
2018-11-04,Chelsea,Crystal Palace,3,1
2018-11-03,Bournemouth,Man Utd,1,2
2018-11-03,West Ham,Burnley,4,2
2018-11-03,Newcastle,Watford,1,0
2018-11-03,Everton,Brighton,3,1
2018-11-03,Cardiff,Leicester,0,1
2018-11-03,Arsenal,Liverpool,1,1
2018-11-03,Wolves,Spurs,2,3
2018-10-29,Spurs,Man City,0,1
2018-10-28,Man Utd,Everton,2,1
2018-10-28,Crystal Palace,Arsenal,2,2
2018-10-28,Burnley,Chelsea,0,4
2018-10-27,Watford,Huddersfield,3,0
2018-10-27,Southampton,Newcastle,0,0
2018-10-27,Liverpool,Cardiff,4,1
2018-10-27,Fulham,Bournemouth,0,3
2018-10-27,Brighton,Wolves,1,0
2018-10-27,Leicester,West Ham,1,1
2018-10-22,Arsenal,Leicester,3,1
2018-10-21,Everton,Crystal Palace,2,0
2018-10-20,Chelsea,Man Utd,2,2
2018-10-20,Wolves,Watford,0,2
2018-10-20,West Ham,Spurs,0,1
2018-10-20,Newcastle,Brighton,0,1
2018-10-20,Man City,Burnley,5,0
2018-10-20,Cardiff,Fulham,4,2
2018-10-20,Bournemouth,Southampton,0,0
2018-10-20,Huddersfield,Liverpool,0,1
2018-10-07,Fulham,Arsenal,1,5
2018-10-07,Southampton,Chelsea,0,3
2018-10-07,Liverpool,Man City,0,0
